#OTU ID,d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Dialister; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Peptostreptococcus,d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__uncultured_bacterium,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_sp.,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__uncultured_bacterium,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_parasanguinis,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Parvimonas,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Ruminococcus_torques_group; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Eubacterium_coprostanoligenes_group; g__Eubacterium_coprostanoligenes_group;,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus,d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__uncultured_bacterium,d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__uncultured_organism,d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium
0AP,2230,16,0,0,1140,0,0,0,577,0,19,161,0,535,0,0,0,0,0
1AP,0,5,0,1839,395,52,0,0,258,0,0,3217,0,1020,114,0,93,0,0
2AP,0,0,17,2961,0,0,114,73,1474,15,0,304,7,177,128,21,110,5,0
3AP,3281,0,0,0,1585,0,0,0,0,0,22,0,0,331,0,0,0,0,0
4AP,0,0,0,2227,645,0,9,0,96,0,0,270,0,662,47,0,0,26,0
5AP,0,48,13,7073,289,0,85,50,1676,5,11,400,27,70,167,7,31,27,0
6AP,588,0,0,80,2085,5,0,0,0,0,0,95,0,875,0,0,28,0,0
7AP,3366,149,77,7451,2085,1,165,113,0,13,54,92,122,2817,353,19,144,18,0
8AP,0,102,0,1590,0,52,0,0,323,0,12,880,0,0,5,0,0,0,0
9AP,601,24,8,0,2085,0,37,42,0,2,31,672,0,2403,138,3,26,3,0
10AP,0,2,0,0,38,0,0,0,894,0,81,784,0,386,0,0,0,0,0
11AP,3708,0,0,0,276,0,0,15,1718,1,23,0,0,0,0,3,0,0,0
12AP,868,0,10,9506,1128,48,76,32,0,9,0,0,14,28,118,11,148,7,0
13AP,642,0,20,1553,1521,0,84,50,0,8,0,39,42,1457,267,12,31,6,0
14AP,530,32,0,0,1988,0,0,0,0,0,21,27,0,304,0,0,0,3,0
15AP,0,0,0,0,185,0,0,0,4567,0,12,566,0,0,0,0,0,2,0
16AP,3708,0,1,0,2085,0,0,0,0,0,0,312,5,1078,108,0,0,2,0
17AP,0,49,0,0,0,2,0,0,0,0,50,199,0,197,8,0,0,0,0
18AP,3386,43,0,0,1633,0,0,7,0,0,51,550,0,2444,0,0,36,0,0
19AP,0,0,101,2736,439,0,596,376,0,59,0,222,184,2972,458,82,192,9,0
20AP,608,0,13,6302,318,0,118,49,716,12,0,0,25,0,0,17,16,26,0
21AP,3708,18,10,659,1970,0,31,19,0,3,10,0,32,503,8,5,16,0,0
22AP,725,74,0,4270,230,13,0,0,0,1,17,0,15,0,98,0,8,2,0
23AP,0,18,20,7272,0,5,119,67,0,13,0,0,46,0,97,16,78,12,0
24AP,2378,105,101,7286,1040,4,563,388,729,65,40,0,189,382,209,84,192,8,0
25AP,0,2,0,0,38,0,0,0,894,0,81,784,0,386,0,0,0,0,0
26AP,3708,0,0,0,276,0,0,15,1718,1,23,0,0,0,0,3,0,0,0
27AP,868,0,10,9506,1128,48,76,32,0,9,0,0,14,28,118,11,148,7,0
28AP,642,0,20,1553,1521,0,84,50,0,8,0,39,42,1457,267,12,31,6,0
29AP,530,32,0,0,1988,0,0,0,0,0,21,27,0,304,0,0,0,3,0
