#OTU ID,d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Dialister; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Peptostreptococcus,d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__uncultured_bacterium,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_sp.,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__uncultured_bacterium,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_parasanguinis,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Parvimonas,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Ruminococcus_torques_group; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Eubacterium_coprostanoligenes_group; g__Eubacterium_coprostanoligenes_group;,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus,d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__uncultured_bacterium,d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__uncultured_organism,d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium
0AP,224,861,1230,0,0,0,2064,619,0,924,408,0,0,0,16021,2315,1515,9404,29
1AP,124,46,136,0,0,0,630,819,0,281,172,0,0,0,5755,183,621,146,84
2AP,176,1327,2351,0,0,7009,1054,540,0,924,0,0,0,0,41886,3928,1043,2125,0
3AP,4,0,547,0,0,0,1485,2010,0,784,0,0,0,0,876,17,839,146,78
4AP,499,1667,2351,0,0,0,1688,0,0,561,389,0,0,0,19322,2347,1617,5469,67
5AP,227,276,784,0,0,4652,244,0,0,161,0,0,0,0,22935,2096,164,146,0
6AP,235,0,210,0,0,5208,1035,417,0,169,2418,0,0,0,17395,312,144,444,320
7AP,71,164,1048,0,0,1542,1861,342,0,412,265,0,0,0,15130,2969,1029,6746,14
8AP,531,721,1609,0,0,0,1894,0,0,31,856,0,0,0,12890,551,1398,5466,715
9AP,154,1033,1748,0,0,5765,1069,639,0,924,274,0,0,0,25609,3133,1152,5201,31
10AP,185,444,1977,0,0,5795,1497,2097,0,848,281,0,0,0,33526,2379,1119,146,62
11AP,206,51,672,0,0,3849,1273,958,0,631,407,0,0,0,16703,1637,599,2678,9
12AP,4,0,452,0,0,0,916,1720,0,846,0,0,0,0,3122,618,583,3235,0
13AP,109,73,700,0,0,2827,832,463,0,603,77,0,0,0,14829,2231,378,8362,0
14AP,79,0,69,0,0,0,1397,1752,0,559,634,0,0,0,1803,17,806,277,766
15AP,531,1667,2146,0,0,0,1422,0,0,217,271,0,0,0,20283,2410,1273,146,0
16AP,135,198,1394,0,0,3372,1938,816,0,661,398,0,0,0,25030,2823,1038,2653,12
17AP,15,0,436,4,0,1977,1239,1572,0,412,355,0,0,0,11133,237,340,146,81
18AP,220,116,884,0,0,997,763,119,0,170,542,0,0,0,10235,17,393,146,87
19AP,89,800,1268,0,0,0,1594,1109,0,811,78,0,0,0,4288,622,1576,1016,120
20AP,531,1613,2317,0,0,4046,1861,1047,0,924,701,0,0,0,37727,2557,1467,2056,16
21AP,65,174,1902,0,0,0,3567,82,0,429,566,0,0,0,11123,2613,1406,9469,128
22AP,317,914,1475,0,0,0,1916,0,0,671,490,0,0,0,11601,2150,1222,17510,25
23AP,274,1149,2351,0,0,14168,3250,667,0,924,507,0,0,0,45797,3945,1432,8997,3
24AP,494,72,846,0,0,14088,1100,419,0,518,2582,0,0,0,39100,672,409,874,379
25AP,411,315,1022,0,0,5219,1889,390,0,668,2244,0,0,0,29513,2106,826,3226,145
26AP,55,0,547,0,0,0,2146,1221,0,609,660,0,0,0,3906,17,765,146,682
