#OTU ID,d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Dialister; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Peptostreptococcus,d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__uncultured_bacterium,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_sp.,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__uncultured_bacterium,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_parasanguinis,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Parvimonas,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Ruminococcus_torques_group; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Eubacterium_coprostanoligenes_group; g__Eubacterium_coprostanoligenes_group;,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus,d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__uncultured_bacterium,d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__uncultured_organism,d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium
0AP,0,0,0,0,0,0,4,5,2152,28,0,0,25,496,101,6,0,3,0
1AP,137,0,17,1481,168,0,18,405,0,35,0,873,66,838,39,8,20,2,0
2AP,29,0,7,235,19,0,2,129,7233,40,0,0,23,0,0,0,4,0,0
3AP,0,75,0,1837,0,0,0,0,3430,0,232,0,129,631,0,0,0,3,0
4AP,25,72,0,0,143,0,1,40,6990,20,233,118,203,402,0,0,4,0,0
5AP,0,0,10,2404,0,0,0,2,30469,9,0,0,0,0,21,0,0,11,0
6AP,0,3,0,0,0,0,0,0,9024,11,5,0,47,603,62,16,0,6,0
7AP,48,0,16,1977,20,0,13,72,0,9,0,576,0,446,160,5,8,13,0
8AP,0,50,0,0,0,0,0,0,2404,18,155,0,163,462,23,6,0,0,0
9AP,0,77,0,434,0,0,5,250,0,60,245,0,0,0,0,0,0,0,0
10AP,96,67,29,728,98,0,8,126,8502,22,223,594,0,0,57,0,15,9,0
11AP,0,148,0,420,0,0,0,0,35659,0,403,0,10,0,0,0,0,3,0
12AP,0,104,1,337,59,0,0,28,0,4,331,0,43,0,0,0,0,0,0
13AP,353,24,33,2399,263,0,9,281,0,15,88,573,0,0,54,0,57,5,0
14AP,0,2,0,0,0,0,6,0,906,2,4,216,20,1485,167,27,0,13,0
15AP,75,279,0,0,228,0,4,268,11417,64,891,185,52,0,0,0,11,0,0
16AP,18,38,4,485,40,0,0,0,35659,5,122,54,0,0,0,0,3,0,0
17AP,0,0,6,105,0,0,10,70,0,17,0,40,39,748,167,5,0,10,0
18AP,0,0,0,2033,0,0,4,63,0,17,0,0,38,493,32,20,0,3,0
19AP,0,0,0,0,0,0,14,405,1409,82,0,0,0,0,27,12,0,0,0
20AP,161,6,7,0,244,0,21,313,11055,64,29,2019,0,585,94,9,25,0,0
21AP,77,0,7,717,98,0,13,261,0,32,0,631,48,828,21,7,12,0,0
22AP,0,0,2,2062,0,0,0,34,0,11,0,0,74,76,16,0,0,0,0
23AP,0,150,3,847,0,0,2,0,0,0,448,0,0,162,126,11,0,13,0
24AP,25,7,0,0,115,0,13,120,1388,22,24,838,203,2721,1,29,3,0,0
25AP,112,29,1,0,318,0,16,314,0,40,101,989,202,1254,5,7,17,0,0
26AP,10,0,1,688,10,0,14,127,0,23,0,548,0,944,67,27,1,5,0
27AP,415,27,33,827,650,0,16,237,5000,2,103,2618,0,365,52,0,65,9,0
28AP,38,0,4,0,0,0,16,386,12336,82,0,359,58,378,76,16,5,1,0
29AP,0,0,6,2229,0,0,2,0,2062,0,0,221,0,751,56,6,0,13,0
